PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_All,loyality,CLUSTER,DISTANCE
1400135,6,10,1,1,2,7,9,11,5,4,6,2,3,0,0,8,1,2,2,1,5.29,1,18,0.1,-1.087717779,4,0.621706375
1400234,0,12,5,1,2,4,6,2,3,4,6,1,3,0,0,8,2,,,1,3.35,1,28,0.1428571429,-0.95194725,4,1.1746991367
1400606,0,7,6,1,2,5,5,1,3,3,6,13,1,0,2,6,1,,,1,5.99,3,47,0.375,-0.21652355,4,1.9035779743
1400622,0,9,6,1,2,3,4,7,3,3,4,1,2,1,2,6,2,,,1,5.29,1,12,0.1428571429,-0.95194725,4,0.8767728705
1400812,0,9,5,1,2,4,6,7,3,4,7,1,2,1,3,6,2,,,1,5.49,1,5,0.1666666667,-0.876519178,4,1.3382456948
1400960,0,7,3,1,2,4,4,6,3,4,4,6,3,1,0,8,2,,,1,5.39,2,6,0.2222222222,-0.700520344,4,1.2282212079
1401323,0,9,4,1,2,4,8,2,3,3,6,4,2,1,1,3,2,,,1,5.29,2,19,0.1666666667,-0.876519178,4,0.4106887257
1401455,0,11,4,1,2,4,4,6,3,3,7,1,3,1,0,2,2,,,1,6.568,5,10,0.2941176471,-0.472757147,4,1.8178186325
1401802,0,1,1,1,1,7,9,11,5,5,5,10,4,0,0,8,1,,,1,5.79,1,34,0.5,0.1794738262,4,1.2350640718
1401828,0,5,2,3,1,4,6,13,1,4,7,3,3,0,0,8,2,,,1,4.34,2,16,0.3333333333,-0.348522676,4,0.7525399004
1401968,0,8,4,1,2,5,6,13,1,4,6,13,1,1,1,6,2,,,1,5.79,2,8,0.2222222222,-0.700520344,4,1.1562999575
1402321,0,5,6,1,1,5,4,10,4,5,4,10,4,1,1,6,2,,,1,5.79,1,28,0.125,-1.008518304,4,0.6974087716
1402347,0,8,1,1,2,7,9,11,5,5,7,1,3,0,1,8,3,,,1,5.29,1,19,0.25,-0.612520927,4,0.390162742
1402404,0,12,2,1,2,4,7,7,3,5,7,2,3,1,0,8,2,,,1,5.49,1,6,0.25,-0.612520927,4,1.251604941
1402479,0,8,3,1,1,5,4,1,2,4,7,7,3,0,1,3,2,,,1,4.44,2,5,0.2222222222,-0.700520344,4,1.34308259
1402487,0,5,1,1,2,7,9,11,5,4,3,1,2,1,1,8,5,,,1,5.29,1,19,0.1666666667,-0.876519178,4,0.4487677517
1402834,0,8,1,1,2,2,4,2,3,7,9,11,5,1,0,8,1,,,1,5.49,1,11,0.0588235294,-1.218163974,4,1.0769732202
1403071,0,5,2,1,1,7,9,11,5,5,4,3,3,1,3,8,3,,,1,5.29,1,45,0.0833333333,-1.140517429,4,1.6471092968
1403162,0,7,4,1,2,4,4,8,3,3,4,4,3,1,0,2,2,,,1,5.74,2,7,0.25,-0.612520927,4,1.2109049547
1403394,0,11,2,1,2,4,7,7,3,4,5,4,3,1,0,8,2,,,1,3.39,1,23,0.0588235294,-1.218163974,4,1.1990860313
1403550,0,10,5,1,2,4,4,1,2,4,5,2,3,0,2,8,2,,,1,5.29,2,13,0.25,-0.612520927,4,0.7361067307
1403642,0,11,6,1,2,4,5,2,3,4,5,1,3,0,0,7,2,,,1,5.54,2,38,0.1538461538,-0.917134294,4,1.1327224338
1403733,0,11,3,1,2,4,5,1,3,7,9,11,5,1,1,8,3,,,1,5.79,2,12,0.4,-0.137324075,4,1.038131193
1403931,0,7,5,1,2,4,7,3,3,3,4,8,2,2,0,2,2,,,1,4.59,2,28,0.2857142857,-0.499378819,4,0.506995952
1403956,0,10,2,1,1,5,4,3,3,4,4,3,2,0,0,8,2,,,1,5.79,2,29,0.2222222222,-0.700520344,4,0.6188189153
1404418,0,12,5,1,2,4,7,3,3,4,7,1,2,1,0,6,2,,,1,5.99,1,47,0.0833333333,-1.140517429,4,1.8595201491
1404426,0,11,4,1,2,3,6,8,3,3,5,1,3,0,2,6,2,,,1,5.29,3,19,0.1034482759,-1.076793713,4,0.7399860737
1404509,0,5,3,1,1,3,4,7,3,4,4,2,3,0,1,8,1,,,1,5.29,1,26,0.0666666667,-1.193317079,4,0.6371018803
1404855,0,9,4,1,2,4,4,7,3,4,5,4,3,0,0,3,2,,,1,5.29,2,35,0.125,-1.008518304,4,0.936148832
1405217,0,8,3,1,1,5,6,1,3,7,9,11,5,0,0,8,3,,,1,5.1233333333,3,20,0.4285714286,-0.046810389,4,0.8257408488
1405290,0,7,2,1,2,5,7,13,1,5,7,1,3,3,0,8,2,,,1,5.99,1,47,0.2,-0.770919878,4,1.7980173724
1405415,0,11,4,1,2,3,6,7,3,3,6,1,3,2,0,3,2,,,1,5.34,4,8,0.2666666667,-0.559721277,4,1.4008391415
1405456,0,6,6,1,2,3,7,1,3,3,5,13,1,0,0,4,2,,,1,5.79,3,6,0.2307692308,-0.6734436,4,1.3799377091
1405654,0,5,1,1,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,4.44,2,6,0.2222222222,-0.700520344,4,1.2761856298
1405670,0,6,3,1,2,4,3,8,2,4,5,7,3,0,0,3,2,,,1,5.29,1,38,0.0909090909,-1.116517588,4,1.1835214296
1405720,0,7,2,1,2,5,8,1,3,5,7,1,3,1,0,8,2,,,1,5.99,1,40,0.1428571429,-0.95194725,4,1.3710552738
1405761,0,7,2,5,2,7,9,11,5,3,5,1,3,1,0,2,4,,,1,5.79,2,23,0.25,-0.612520927,4,0.4531750013
1406017,0,1,5,1,2,3,4,6,3,3,4,3,2,0,0,6,2,,,1,5.89,2,45,0.1333333333,-0.982118478,4,1.6654943779
1406066,0,6,5,1,1,4,4,10,4,4,4,13,1,2,0,8,2,,,1,4.9233333333,3,15,0.1764705882,-0.84546056,4,0.8002072317
1406173,0,8,3,1,2,3,6,3,3,2,7,2,3,1,2,2,2,,,1,5.29,1,46,0.1428571429,-0.95194725,4,1.6697873576
1406942,0,10,2,1,2,5,6,3,3,5,7,10,4,0,0,8,2,,,1,3.39,1,17,0.5,0.1794738262,4,1.4105637052
1407015,0,9,4,1,2,5,7,10,4,5,4,10,4,0,0,8,2,,,1,2.9533333333,3,17,0.1764705882,-0.84546056,4,1.4733625604
1407270,0,7,4,1,1,3,7,1,3,3,4,13,1,0,0,6,2,,,1,5.49,1,3,0.1666666667,-0.876519178,4,1.4735314051
1407296,0,9,3,1,2,4,5,7,3,4,5,13,1,1,0,8,2,,,1,3.35,1,14,0.1666666667,-0.876519178,4,1.2755002307
1407395,0,10,3,1,2,5,6,4,3,3,5,4,3,1,2,3,2,,,1,5.54,2,28,0.5,0.1794738262,4,0.9536752703
1407460,0,9,4,1,2,4,4,9,3,4,4,1,2,1,0,8,2,,,1,5.23,4,19,0.2105263158,-0.73757273,4,0.9467465787
1407551,0,9,5,1,2,4,4,1,2,4,4,7,3,1,0,3,2,,,1,5.79,1,31,0.5,0.1794738262,4,1.1146151102
1407700,0,9,4,1,2,4,7,13,1,4,5,13,1,1,0,6,2,,,1,5.465,4,6,0.2105263158,-0.73757273,4,1.5202294594
1407908,0,9,2,1,1,4,4,2,3,7,9,11,5,0,0,8,3,,,1,5.29,1,19,0.125,-1.008518304,4,0.527490822
1408252,0,8,2,1,2,5,3,7,3,4,3,0,2,0,0,8,2,,,1,5.54,2,38,0.1176470588,-1.031812267,4,1.1649713407
1408385,0,11,4,1,2,4,7,7,3,4,6,8,2,2,1,3,2,,,1,5.79,1,28,0.1428571429,-0.95194725,4,0.6702048118
1408419,0,8,2,1,2,6,4,10,4,6,4,10,4,0,0,8,2,,,1,5.29,1,19,0.3333333333,-0.348522676,4,0.4923937334
1408450,0,6,1,1,2,7,9,11,5,5,8,7,2,0,0,8,3,,,1,3.39,1,13,0.25,-0.612520927,4,1.2737147958
1408757,0,5,2,1,2,7,9,11,5,4,6,5,3,0,1,3,3,,,1,5.79,1,4,0.1428571429,-0.95194725,4,1.4623912496
1408906,0,8,2,1,2,7,9,11,5,5,7,1,3,1,0,8,4,,,1,5.54,2,28,0.125,-1.008518304,4,0.5887884116
1408971,0,9,2,1,2,6,4,10,4,5,5,1,3,0,1,8,2,,,1,5.79,1,11,0.125,-1.008518304,4,1.0435597221
1800250,0,8,4,1,2,5,4,6,3,4,4,13,1,1,1,8,2,,,1,5.99,4,1,0.1333333333,-0.982118478,4,1.9073276786
1800722,0,5,2,1,2,7,9,11,5,6,6,3,2,0,2,8,4,,,1,5.49,1,6,0.25,-0.612520927,4,1.251604941
1801050,6,5,1,1,2,7,9,11,5,6,6,10,4,0,0,8,4,2,2,1,5.79,1,28,0.5,0.1794738262,4,1.0243064592
1801134,0,8,2,1,2,4,6,6,3,4,6,4,3,1,0,8,2,,,1,5.99,2,47,0.1538461538,-0.917134294,4,1.8045686662
1802280,0,7,4,1,2,5,6,2,3,5,7,1,2,0,0,8,2,,,1,4.59,2,11,0.2,-0.770919878,4,0.9224184407
1803163,0,1,3,0,2,7,9,11,5,6,5,13,1,0,0,8,4,,,1,5.79,3,3,0.3,-0.454121976,4,1.5805936846
1803197,0,6,2,1,2,6,4,10,4,6,4,10,4,1,0,8,2,,,1,3.39,1,11,0.3333333333,-0.348522676,4,1.3904057228
1803353,0,11,5,1,2,4,6,6,3,3,4,8,3,1,0,3,2,,,1,3.35,1,11,0.1428571429,-0.95194725,4,1.408032656
1803494,0,10,2,1,2,5,5,8,2,5,5,1,2,0,0,8,2,,,1,5.54,2,18,0.25,-0.612520927,4,0.4750953477
1804039,0,9,3,1,2,7,9,11,5,6,6,13,1,0,1,8,4,,,1,5.79,2,28,0.2222222222,-0.700520344,4,0.5731778452
1804690,0,9,5,1,2,4,5,1,3,4,7,1,3,1,0,8,2,,,1,5.39,2,6,0.1428571429,-0.95194725,4,1.2635037465
1805010,0,10,3,1,2,6,5,5,3,5,3,5,2,0,0,8,2,,,1,5.99,1,47,0.1666666667,-0.876519178,4,1.8081093722
1805085,0,7,2,1,2,6,3,10,4,6,5,10,4,1,0,8,2,,,1,5.79,1,23,0.5,0.1794738262,4,0.9627768054
1805614,6,5,3,1,2,6,6,10,4,6,6,10,4,0,0,8,2,4,4,1,5.29,1,37,0.2,-0.770919878,4,1.0268487265
1805994,0,9,1,1,1,7,9,11,5,6,4,13,1,0,0,8,4,,,1,5.29,1,19,0.2,-0.770919878,4,0.4062012613
1806018,0,6,2,1,2,6,3,0,6,6,4,0,6,0,4,8,2,,,1,4.59,2,19,0.4,-0.137324075,4,0.6766395082
