PANID,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
1107011,4.0945454545,22,2,0.8181818182,0,6,2.9822359561
1107136,13.156666667,3,17,1,0,7,11.549634242
1107169,5.65,5,3,0,0,7,5.0839229545
1107235,2.99,1,31,0,0,5,6.8584917277
1107250,7.048,10,10,0,0.2,7,5.4939681957
1107318,3.39,5,21,0,0,5,10.307716078
1107359,5.74,8,1,0,0,7,7.7007602849
1107367,3.79,1,19,1,0,5,11.415548928
1107391,5.1344444444,9,5,0.2222222222,0,7,5.1800470798
1107417,4.4233333333,3,0,0,0.3333333333,7,8.4696151551
1107425,7.59,4,13,0,0,7,5.2409457476
1107557,7.8642857143,7,9,0,0.1666666667,7,2.8393151691
1107599,7.59,4,0,1,0,7,8.2705498288
1107649,10.63,5,0,1,0,8,7.9004406728
1107862,8.99,1,13,0,0,7,6.934688675
1107920,5.6261538462,13,2,0.1538461538,0.0769230769,6,7.4224177799
1107953,4.49,2,6,0,0,7,3.9672950713
1107961,5.7417647059,17,1,0.1428571429,0.0714285714,6,3.5564325796
1108035,4.99,1,27,0,0,5,4.9217897299
1108043,16.702,10,9,0,0.3,8,8.1788415092
1108084,5.29,4,4,0,0.5,7,4.2736358871
1108225,6.9566666667,15,8,0.6428571429,0.2857142857,6,8.1929689503
1108266,9.9833333333,3,27,0,0.3333333333,5,2.1729235198
1108308,5.065,8,13,0,0,7,5.9229796492
1108415,7.4185714286,7,4,0.7142857143,0,7,4.7421167442
1108456,12.38,10,7,1,0,7,8.1208573306
1108464,4.7916666667,6,14,0.1666666667,0.1666666667,7,6.1950609865
1108480,3.19,2,17,0,0.5,7,9.8878729481
1108514,6.7235294118,17,0,0,0.3125,6,3.8567443421
1108670,3.39,1,16,0,1,7,9.3406059279
1108746,5.3233333333,3,9,0.3333333333,0,7,2.3271687695
1108795,5.69,1,42,0,0,4,0.5918535351
1108829,9.1233333333,6,0,0.6666666667,0,7,8.6563505801
1108878,4.99,2,26,0,0,5,5.2638068949
1108886,5.99,10,6,0,0.2,7,5.4632570437
1108951,8.8557142857,7,4,0.1428571429,0.1428571429,7,5.2816566698
1108985,3.39,1,3,0,1,7,7.0425991478
1109066,5.0777777778,9,9,0,0,7,4.3104736054
1109108,5.4625,4,2,0,0.6666666667,7,6.1931971303
1109165,3.648,10,3,0,0.2,7,7.5800091171
1109272,8.975,2,3,0,0,7,6.4927197195
1109447,9.3225,8,0,0,0,7,9.1763693221
1109462,6.1122222222,9,8,0.1428571429,0,7,4.0581866425
1109470,7.2733333333,3,21,0,0.3333333333,5,8.1947868781
1109488,7.3122222222,9,4,0.2222222222,0.3333333333,7,5.8506945602
1109595,4.59,4,5,0,0,7,3.5693035784
1109603,3.39,3,11,0,1,7,4.5812543868
1109629,6.188,10,0,0,0,7,9.5104243575
1109652,4.79125,8,7,0,0.125,7,3.5168275971
1109728,2.78,2,20,0.5,0,5,11.058289117
1109736,10.737692308,13,1,0,0.0769230769,6,8.5456371996
1109769,5.34,2,0,0.5,0,7,8.6187173903
1109835,7.84,8,0,1,0,7,8.8102356821
1109868,7.528,5,22,0.75,0,5,7.6832748567
1109892,5.2771428571,7,4,0,0,7,4.6352459253
1109942,6.24,2,15,0.5,0,7,7.5532019067
1110072,5.2775,8,5,0,0,7,4.4149236698
1110197,2.99,3,17,0,0,7,9.6941780813
1110205,3.84,4,6,1,0,7,3.3379478361
1110262,12.08,3,8,0,0.3333333333,7,6.2353813103
1110312,6.89,1,34,0,0,5,5.8412270193
1110346,7.0588888889,27,0,0.0740740741,0.3333333333,6,6.9096677283
1110379,7.584,5,3,0,0,7,5.2536180957
1110403,12.453333333,3,9,1,0,7,6.6994925182
1110437,3.8771428571,7,9,0,0,7,3.2260677849
1110445,8.1566666667,3,13,0,0,7,5.682844926
1110486,8.49,1,6,0,0,7,5.0240419371
1110544,3.99,2,9,0,0,7,3.7882808213
1110585,6.2566666667,3,8,0,0,7,1.9622249463
1110650,6.2566666667,3,15,1,0,7,7.2598836732
1110759,10.99,2,48,1,0,4,8.3441276377
1110809,7.49,1,25,1,0,5,4.4986696283
1110833,7.83,10,5,0.6,0,7,6.1493956282
1110908,7.01,5,10,0.4,0.6,7,2.1873343384
1110940,5.4066666667,6,8,0,0,7,1.3214669947
1110965,5.29,1,29,0,1,5,4.3716846506
1110973,3.788,5,1,0,0,7,7.4453603912
1111138,4.99,1,28,0,0,5,4.6386003399
1111187,10.98,2,6,0,0,7,6.0114732429
1111229,5.09,3,10,0,0.3333333333,7,2.9697114359
1111245,21.18,1,48,0,0,4,16.762131071
1111278,4.99,2,4,0,0,7,5.1501304728
1111286,4.34,2,34,0,0,5,7.2253316093
1111435,9.84,7,3,0,0,7,6.5818455737
1111450,10.443333333,3,2,0,0,8,7.385555195
1111468,11.65,8,1,1,0,8,7.6398672763
1111526,5.115,4,6,0.25,0.25,7,2.4943408969
1111542,5.9133333333,3,9,0,0,7,2.1909515644
1111583,4.49,2,22,0,1,5,8.4886678147
1111617,8.74,2,7,0,0,7,4.0587483947
1111880,12.23,2,27,0,0,5,3.3977605076
1111971,6.3488888889,27,2,0.2222222222,0.3333333333,6,6.6372218738
1112003,5.79,1,1,0,1,7,8.1396196056
1112029,2.79,5,4,0,0,7,5.2781635952
1112052,7.3471428571,7,22,0.5714285714,0.1428571429,5,8.6698351497
1112086,4.99,1,25,0,0,5,5.9698254758
1112102,5.04,4,4,0.25,0.25,7,4.3119047667
1112110,7.5566666667,3,2,1,0,7,6.5566371035
1112185,11.89,3,13,1,0,7,7.8548196901
1112201,8.8277777778,9,1,0,0,7,8.5633816068
1112219,8.49,1,51,0,0,4,9.7762480019
1112235,9.84,6,4,1,0,7,5.6293268388
1112268,14.725,6,3,0,0,8,3.5908038633
1112367,5.3,9,17,0,0,7,9.8648605496
1112425,7.933,10,3,0.5,0,7,7.369433456
1112532,5.6976923077,13,16,0.0769230769,0.2307692308,7,11.327240119
1112623,5.69,7,4,0,0.2857142857,7,4.5758986986
1112649,5.915,4,18,0,0.5,7,10.005374307
