PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
1126888,0,5,2,1,1,6,4,10,4,6,4,10,4,0,0,8,2,,,1,14.99,1,51,1,0,4,13.233597448
1127027,0,1,4,1,1,7,9,11,5,3,4,13,1,0,2,6,5,,,1,4.39,1,43,1,0,4,2.097959972
1127035,0,7,1,1,2,7,9,11,5,5,5,1,3,0,0,8,3,,,1,5.79,2,38,0,1,4,3.8037291613
1127357,0,9,1,1,1,6,3,10,4,7,9,11,5,0,0,8,1,,,1,5.99,1,47,0,1,4,5.4527866888
1127795,0,1,2,5,1,7,9,11,5,3,6,13,1,0,1,2,1,,,1,7.7233333333,3,36,0.3333333333,0.3333333333,4,6.216051095
1127886,0,10,4,1,2,3,3,6,3,2,5,1,2,2,0,3,2,,,1,5.29,1,45,0,1,4,3.5187558375
1128751,0,7,2,1,2,6,8,10,4,5,6,10,4,0,0,8,2,,,1,3.99,1,37,0,0,4,4.9687765018
1129213,0,6,1,1,2,7,9,11,5,6,7,1,3,0,0,8,3,,,1,2.99,1,48,0,0,4,6.9105187216
1129387,0,11,2,1,2,5,6,8,2,5,7,1,3,1,0,8,2,,,1,17.97,1,41,0,0,4,12.321909234
1129965,0,6,2,1,1,6,5,10,4,6,4,10,4,0,0,8,2,,,1,6.29,1,38,0,0,4,3.7322628864
1130252,0,10,2,1,2,5,4,7,3,4,5,3,3,0,0,8,2,,,1,8.49,1,44,0,0,4,3.6981894393
1132225,0,7,2,1,2,5,4,6,3,5,4,13,1,0,0,8,2,,,1,6.99,1,50,0,0,4,8.4663314929
1132233,0,7,3,1,1,5,4,1,3,3,4,3,2,0,1,8,2,,,1,5.99,1,47,0,1,4,5.4527866888
1132290,0,9,2,1,2,3,7,7,3,3,7,2,3,0,1,8,2,,,1,4.99,1,39,0,0,4,2.7783585641
1132308,0,6,3,1,1,7,9,11,5,4,6,2,3,0,1,8,3,,,1,2.99,2,34,0,0,4,8.1288417439
1132522,0,6,4,1,1,4,5,7,3,3,6,3,2,0,1,6,2,,,1,5.79,1,46,0,1,4,4.466196462
1133124,0,10,4,1,2,3,7,1,3,3,7,1,3,0,1,3,2,,,1,9.98,1,44,0,0,4,4.9281717737
1133579,0,7,3,1,1,7,9,11,5,3,3,13,1,0,0,8,4,,,1,17.97,1,41,0,0,4,12.321909234
1137059,0,1,4,1,1,1,4,8,3,1,4,4,2,0,1,8,1,,,1,1.99,1,46,0,0,4,5.7205535235
1137182,0,6,3,1,1,2,6,5,3,2,8,8,2,0,0,2,1,,,1,4.865,4,38,0,0,4,4.5348836855
1137240,0,4,3,1,2,5,5,10,4,4,6,4,3,1,1,3,2,,,1,11.98,1,41,0,0,4,6.3568490574
1137323,0,8,3,1,2,6,4,10,4,5,6,4,3,0,0,8,2,,,1,10.485,2,39,0,0,4,5.5236960806
1137570,0,8,3,1,2,3,6,7,3,2,5,13,1,2,2,1,2,,,1,4.99,1,51,0,0,4,9.3870425325
1138909,0,6,2,1,1,1,4,5,3,1,6,8,2,0,0,8,1,,,1,3.49,2,36,0,0,4,6.0863051647
1139113,0,7,4,1,1,3,4,6,2,2,4,13,1,0,0,6,2,,,1,2.99,2,40,0,0,4,3.2057313824
1139121,0,6,4,1,2,2,4,5,3,2,4,4,2,0,1,2,2,,,1,17.97,1,40,0,0,4,12.414897217
1139253,0,6,1,1,1,7,9,11,5,5,7,13,1,2,0,8,1,,,1,4.79,1,47,0,0,4,5.4434614788
1139618,0,9,4,1,2,4,7,6,3,3,6,1,2,0,1,3,2,,,1,7.9866666667,3,47,0,1,4,6.1007139351
1140202,0,11,5,1,2,4,4,1,3,3,4,13,1,0,0,2,2,,,1,8.09,2,39,0,0,4,3.6338653638
1140210,0,4,2,1,1,1,4,1,2,3,4,6,3,0,4,8,1,,,1,6.99,1,49,0,0,4,7.481911165
1140293,0,9,4,1,2,4,7,2,3,3,7,1,2,1,0,3,2,,,1,3.99,3,38,0,0.3333333333,4,4.3205375145
1140319,0,7,2,1,2,2,6,1,3,2,6,8,3,0,1,8,2,,,1,6.49,2,35,0,0,4,6.7257936224
1140434,0,3,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,5.99,1,40,0,1,4,1.9581784417
1140889,0,4,2,1,1,7,9,11,5,5,4,10,4,0,2,8,1,,,1,3.99,1,50,0,0,4,8.5314597454
1141135,0,8,5,1,2,3,5,6,3,3,7,1,2,1,0,6,2,,,1,6.165,4,40,0,0.5,4,3.1132322388
1141275,0,7,2,0,2,4,7,2,3,3,7,1,3,0,0,8,2,,,1,21.99,1,43,1,0,4,16.399598235
1141978,0,1,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,4.4233333333,3,40,0,1,4,2.7458399934
1142117,0,4,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,3.415,4,40,0.25,0,4,3.7950889359
1142273,0,8,3,1,2,2,6,1,3,2,6,1,2,1,0,1,2,,,1,5.99,1,48,0,1,4,6.4368204061
1142331,0,1,1,0,1,0,0,0,0,7,9,11,5,0,0,8,3,,,1,5.98,1,39,0,0,4,2.7099915655
1142901,0,2,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,8.59,1,36,1,0,4,6.4306426711
1142992,0,4,2,0,1,7,9,11,5,1,4,0,3,0,0,2,1,,,1,4.19,1,41,0,0,4,1.6893888127
1143214,0,6,2,1,2,3,5,13,1,5,6,13,1,0,1,8,2,,,1,5.98,1,36,0,0,4,5.6784444601
1143230,0,6,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,5.29,2,45,0,1,4,3.5357151285
1143263,0,6,3,0,2,5,6,0,3,3,7,0,2,1,0,2,2,,,1,3.99,1,41,0,0,4,1.8675751631
1143339,0,6,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,5.98,1,39,0,0,4,2.7099915655
1143453,0,1,3,0,1,7,9,11,5,1,6,13,1,0,0,6,1,,,1,5.99,1,46,0,0,4,4.3873322223
1144436,0,5,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,14.99,1,42,1,0,4,9.3717732059
1144725,0,4,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,7.385,4,41,0.25,0.25,4,3.151428592
1144824,0,2,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,5.98,1,46,0,0,4,4.3866244596
1144865,0,2,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,2.99,1,35,0,0,4,7.1873641579
1145201,0,10,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,6.49,1,47,0,0,4,5.4326744999
1145243,0,6,2,4,1,7,9,11,5,2,6,13,1,0,1,2,1,,,1,1.99,1,34,0,0,4,8.5045541575
1145276,0,1,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,5.59,2,37,0,0.5,4,4.7032086394
1145359,0,5,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,4.59,1,46,0,0,4,4.5083590178
1145961,0,6,1,0,2,0,0,0,0,7,9,11,5,0,0,8,2,,,1,7.98,1,39,0,0,4,3.5448596576
1148429,0,12,5,1,2,3,4,6,3,3,4,3,3,0,0,6,2,,,1,2.99,1,36,0,0,4,6.2735936914
1148999,0,3,1,1,2,7,9,11,5,4,6,3,3,1,0,8,3,,,1,17.97,1,40,0,0,4,12.414897217
1149120,0,3,1,1,2,7,9,11,5,5,5,4,3,0,1,8,3,,,1,13.983333333,3,38,0,0,4,9.2101488353
